科目名, 分野, K-Number
プロジェクト英語ＡEA06(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA04(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA04(Translation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA05(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ａ(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA02(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＡEA03(Reading/Discussion), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB01(CriticalThinking), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-211-02
プロジェクト英語ＢEB04(Project), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｂ(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｂ(Reading), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB05(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB03(Listening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB02(Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB07(Discussion/Presentation), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-211-02
プロジェクト英語ＢEB07(Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB02(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｂ(Project), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB03(Project), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-211-02
プロジェクト英語ＢEB04(Listening+Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB01(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB05(Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB06(Writing), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＢEB01(OralListening), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC02(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC02(Listening)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC08(Writing)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC07(OralListening)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC06(Translation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(Speaking)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC05(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC01(OralListening)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC05(Reading)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC04(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC03(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC08(Reading)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語Ｃ(CreativeWriting)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC04(Project)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC03(Translation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC07(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
プロジェクト英語ＣEC01(Presentation)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
