科目名, 分野, K-Number
アカデミックプロジェクトアジアとアフリカをつなぐイニシアティブ, プロジェクト科目, GMG-MG-67203-612-88
アカデミックプロジェクトヒューマンサービスとコミュニティ, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクトノーベル・コンピューティング：ＡＩと脳科, プロジェクト科目, GMG-MG-67203-612-88
アカデミックプロジェクト「身体化デザイン」プログラム, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクト外国語教育デザイン, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクト多言語多文化共生社会, プロジェクト科目, GMG-MG-67203-611-85
アカデミックプロジェクト気候変動・災害リスクガバナンスシステムと, プロジェクト科目, GMG-MG-67203-612-04
アカデミックプロジェクト公共政策, プロジェクト科目, GMG-MG-67203-621-86
脊椎動物のボディプラン, 特設科目, GMG-MG-67303-221-44
環境情報システム構築法, 特設科目, GMG-MG-67303-222-88
環境科学技術・政策特論, 特設科目, GMG-MG-67303-212-88
サイバーセキュリティ・ケーススタディ, 特設科目, GMG-MG-67303-221-60
ネットワークセキュリティ, 特設科目, GMG-MG-67303-211-60
日本語インテンシブ１B/日本語インテンシブ１, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
日本語インテンシブ２A, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
日本語インテンシブ３B/日本語インテンシブ３, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
日本語インテンシブ初級２A/日本語インテンシブ初級２, 基盤科目-言語コミュニケーション科目, FPE-CO-02802-111-02
不動産デザイン１(寄附講座), 特設科目, FPE-CO-06103-211-87
実践演習：ビジネスモデル分析(寄附講座), 特設科目, FPE-CO-06103-311-07
暗号とデータセキュリティ, 特設科目, GMG-MG-67303-211-60
プライバシーと個人情報管理, 特設科目, GMG-MG-67303-211-60
クリティカル・メイキング【学期後半】, 特設科目, GMG-MG-67303-221-89
先端フィールドワークＡ(GESL)/先端フィールドワークＢ(GESL)/先端フィールドワークＣ(GESL)/先端フィールドワークＤ(GESL), 特設科目（博士）, GMG-MG-78104-412-88
アカデミック・ライティング特別演習, 自由科目, GMG-MG-67604-222-89
修士論文１, 修士論文1, GMG-MG-67502-511-88
修士論文１【旧０１学則】, 修士論文1, GMG-MG-67502-511-88
修士論文２【旧０１学則】, 修士論文2, GMG-MG-67502-511-88
修士論文２, 修士論文2, GMG-MG-67502-511-88
修士活動報告１, 修士活動報告1, GMG-MG-67512-511-88
修士活動報告２, 修士活動報告2, GMG-MG-67512-511-88
地理学概論, 自由科目, 
文化論（中国語圏）/中国語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-02
体育２～５(バレーボール), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
学びのデザインワークショップ【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-88
ライティング技法ワークショップ, 基盤科目-共通科目, FPE-CO-03303-211-88
第二言語としての日本語教育, 基盤科目-共通科目, FPE-CO-03303-211-02
組織コミュニケーション, 基盤科目-共通科目, FPE-CO-03303-211-07
仕事と社会【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-07
創造システム理論【学期前半】, 基盤科目-共通科目, FPE-CO-03303-221-88
データベース概論, 基盤科目-共通科目, FPE-CO-03303-211-60
文化政策, 先端科目-総合政策系, FPE-CO-04003-211-01
ファイナンス論【学期前半】, 先端科目-総合政策系, FPE-CO-04003-211-07
国際関係論, 先端科目-総合政策系, FPE-CO-04003-211-86
スポーツマネジメント, 先端科目-総合政策系, FPE-CO-04003-211-07
南極生態学【学期前半】, 特設科目, FPE-CO-06103-211-45
テクノロジーマネジメント論, プログラム科目, GMG-MG-67103-231-07
調査研究設計論【学期前半】, プログラム科目, GMG-MG-67103-221-86
生物多様性科学特論【学期後半】, プログラム科目, GMG-MG-67103-212-87
